Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore,SMA,RSI,Signal,TP/SP_values,Profit_per_Coin
2024-03-15 00:30:00,72715.80,72887.00,72412.30,72698.1,1165.384,2024-03-15 00:44:59.999,84719411.87870,371,476.434,34700606.42730,0,72778.2765,53.65832132034967,Hold,0.0,0.0
2024-03-15 00:45:00,72600.00,72886.60,72413.00,72502.2,1159.118,2024-03-15 00:59:59.999,84185820.48920,426,572.313,41632254.10610,0,72789.2875,52.17702254262496,Hold,0.0,0.0
2024-03-15 01:00:00,72502.20,72886.40,72502.20,72782.1,973.841,2024-03-15 01:14:59.999,70743889.13370,274,470.232,34189024.00920,0,72801.344,49.48020550015119,Hold,0.0,0.0
2024-03-15 01:15:00,72731.20,72886.50,72513.30,72544.0,1560.207,2024-03-15 01:29:59.999,113476798.60110,418,786.216,57242960.00840,0,72811.484,46.379808509432856,Hold,0.0,0.0
2024-03-15 01:30:00,72514.00,72886.40,72412.90,72713.3,901.367,2024-03-15 01:44:59.999,65463916.76200,327,390.389,28398253.94560,0,72823.793,49.49995890073158,Hold,0.0,0.0
2024-03-15 01:45:00,72719.50,72886.20,72286.00,72850.0,1696.849,2024-03-15 01:59:59.999,123093457.97460,400,569.804,41426507.18640,0,72835.463,54.700782525474246,Hold,0.0,0.0
2024-03-15 02:00:00,72286.00,72886.20,72250.90,72399.2,1430.500,2024-03-15 02:14:59.999,103824193.52240,369,675.687,49124128.45710,0,72846.2,47.438383426034584,Hold,0.0,0.0
2024-03-15 02:15:00,72302.00,72886.20,72301.60,72335.2,876.754,2024-03-15 02:29:59.999,63485187.53200,330,414.064,30011001.32270,0,72855.296,47.34175281356622,Hold,0.0,0.0
2024-03-15 02:30:00,72335.20,72571.20,72301.50,72301.5,1118.223,2024-03-15 02:44:59.999,80929702.52590,310,520.933,37732744.10070,0,72862.8725,42.510940919037175,Hold,0.0,0.0
2024-03-15 02:45:00,72335.00,72883.90,72000.00,72242.7,1482.777,2024-03-15 02:59:59.999,107404308.57890,379,792.743,57498526.36300,0,72872.57549999999,47.5188797505121,Hold,0.0,0.0
2024-03-15 03:00:00,72242.70,72639.00,71809.00,72295.8,1650.062,2024-03-15 03:14:59.999,118994200.56280,398,721.774,52184125.53450,0,72880.729,39.64062170335483,Hold,0.0,0.0
2024-03-15 03:15:00,72213.70,72638.00,70950.00,70950.0,1241.972,2024-03-15 03:29:59.999,89326025.77630,601,541.655,39063217.11210,0,72883.354,30.355171392412018,Hold,0.0,0.0
2024-03-15 03:30:00,70950.00,72639.00,70500.00,70825.1,1269.183,2024-03-15 03:44:59.999,91026192.35100,680,691.179,49754869.68530,0,72885.484,21.64778638307746,Hold,0.0,0.0
2024-03-15 03:45:00,71093.90,72571.20,70837.20,71735.3,1070.150,2024-03-15 03:59:59.999,76545633.69860,476,598.422,42840437.59220,0,72892.6805,39.77896579004159,Hold,0.0,0.0
2024-03-15 04:00:00,71633.10,72223.80,70902.20,71350.6,952.018,2024-03-15 04:14:59.999,67991409.90240,450,478.112,34192015.62040,0,72897.3085,34.84558806990718,Hold,0.0,0.0
2024-03-15 04:15:00,71350.60,71999.00,70906.40,70906.8,1178.740,2024-03-15 04:29:59.999,83906631.64170,442,588.022,41910037.81170,0,72897.91149999999,33.00524095615505,Hold,0.0,0.0
2024-03-15 04:30:00,70956.40,71232.40,70902.20,70997.4,932.925,2024-03-15 04:44:59.999,66275639.11600,396,423.965,30151496.41720,0,72900.3185,30.18981018981006,Hold,0.0,0.0
2024-03-15 04:45:00,70997.40,71999.00,70910.00,71005.8,1454.711,2024-03-15 04:59:59.999,103541914.18690,406,515.363,36775839.18890,0,72903.3475,32.00851501824651,Hold,0.0,0.0
2024-03-15 05:00:00,70934.70,71999.00,70910.00,71504.2,1093.722,2024-03-15 05:14:59.999,78012766.63370,548,658.593,47076820.69940,0,72907.56450000001,36.868741718977304,Hold,0.0,0.0
2024-03-15 05:15:00,71064.00,72638.00,70910.10,71006.1,1071.327,2024-03-15 05:29:59.999,76404346.54850,536,532.542,38060803.61700,0,72909.4715,31.432139044972118,Hold,0.0,0.0
2024-03-15 05:30:00,70910.10,72637.50,70910.10,71397.0,857.242,2024-03-15 05:44:59.999,61594364.35780,481,388.572,27962099.62590,0,72911.462,39.78472703551187,Hold,0.0,0.0
2024-03-15 05:45:00,71300.70,72300.00,71100.10,71200.0,657.042,2024-03-15 05:59:59.999,46997190.51830,385,337.840,24189206.02930,0,72915.02149999999,38.73451889488725,Hold,0.0,0.0
2024-03-15 06:00:00,71549.40,72499.90,71199.90,72199.4,941.328,2024-03-15 06:14:59.999,67729965.93900,555,468.657,33762881.20990,0,72921.01849999999,49.14974767242379,Hold,0.0,0.0
2024-03-15 06:15:00,72199.40,72297.50,71100.10,72055.6,1107.295,2024-03-15 06:29:59.999,79470077.32160,529,563.128,40495986.10590,0,72927.9665,48.463648158184355,Hold,0.0,0.0
2024-03-15 06:30:00,72008.30,72297.50,71108.80,71210.0,1296.653,2024-03-15 06:44:59.999,92834708.53760,759,653.480,46841958.49750,0,72930.677,42.110846314810445,Hold,0.0,0.0
2024-03-15 06:45:00,71343.70,72000.00,71200.00,71703.0,917.989,2024-03-15 06:59:59.999,65606888.08350,418,470.096,33633513.37360,0,72933.253,56.24502388535036,Hold,0.0,0.0
2024-03-15 07:00:00,71906.90,72196.80,71200.10,71200.1,1125.039,2024-03-15 07:14:59.999,80844809.52860,461,564.494,40608622.60510,0,72933.96100000001,52.92657801086348,Hold,0.0,0.0
2024-03-15 07:15:00,71392.30,72196.80,71200.10,71239.3,1170.883,2024-03-15 07:29:59.999,83786090.16840,455,591.181,42361917.63180,0,72934.698,45.52006936666783,Hold,0.0,0.0
2024-03-15 07:30:00,71315.20,71785.70,71200.00,71569.4,865.061,2024-03-15 07:44:59.999,61841096.45000,560,459.229,32860265.46880,0,72935.715,51.99591330365604,Hold,0.0,0.0
2024-03-15 07:45:00,71649.90,72194.70,71306.10,71306.1,1176.422,2024-03-15 07:59:59.999,84421628.91510,527,568.553,40859934.03450,0,72937.3355,53.766483671967926,Hold,0.0,0.0
2024-03-15 08:00:00,71306.10,72194.70,71306.10,71840.6,834.976,2024-03-15 08:14:59.999,59883958.54570,480,421.958,30300058.80410,0,72935.9985,57.33906625352522,Hold,0.0,0.0
