Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore,label,Signals,TP/SP_values,Profit_per_Coin,Profit/Loss_Investment,Profit/Loss_Investment_and_fees
2024-04-12 04:00:00,71530.10,71930.00,71521.00,71927.7,60.511,1712895299999,4338215.71360,242,28.776,2068376.95910,0,0,2.0,69999.8,1927.8999999999942,13.401651936597405,13.396291275822767
2024-04-12 06:00:00,71896.30,71900.00,71550.60,71550.8,55.61,1712902499999,3990719.42160,200,33.180,2385524.13390,0,2,2.0,69999.8,1551.0,10.838453238817735,10.834117857522207
2024-04-12 08:00:00,71899.60,71899.90,71551.20,71899.9,33.407,1712909699999,2397498.99560,172,17.248,1239649.26410,0,2,2.0,69999.8,1900.0999999999913,13.213509337286919,13.208223933552004
2024-04-12 08:15:00,71899.90,71899.90,71551.50,71888.0,40.447,1712910599999,2901726.26000,211,19.507,1401642.46550,0,2,2.0,69999.8,1888.199999999997,13.132929000667684,13.127675829067416
2024-04-12 08:30:00,71551.70,71888.00,71551.50,71887.0,18.67,1712911499999,1338466.66640,211,6.911,496809.23230,0,2,2.0,69999.8,1887.199999999997,13.126156328682496,13.120905866151023
2024-04-12 08:45:00,71555.00,71899.80,71555.00,71555.0,44.126,1712912399999,3167231.30580,216,26.463,1902412.03690,0,2,2.0,69999.8,1555.199999999997,10.867165117741576,10.86281825169448
2024-04-12 09:15:00,71899.00,71899.90,71555.20,71562.0,43.882,1712914199999,3146123.07790,367,19.433,1395191.32450,0,2,2.0,69999.8,1562.199999999997,10.915010759900486,10.910644755596525
2024-04-12 13:00:00,71899.70,71899.70,71560.00,71899.0,229.087,1712927699999,16407268.42210,514,32.719,2350689.21870,0,2,2.0,69999.8,1899.199999999997,13.207415958497316,13.202132992113917
2024-04-12 13:30:00,71561.00,71761.40,70800.00,70800.1,2605.628,1712929499999,186065663.87400,537,43.139,3076539.03300,0,2,1.0,69999.8,-800.3000000000029,-5.651828175383953,-5.654088906654106
2024-04-12 15:15:00,70115.40,70799.80,69489.60,70159.6,54.92,1712935799999,3867503.79990,910,28.970,2043617.10110,0,2,2.0,67815.3,2344.300000000003,16.706908249191862,16.700225485892187
2024-04-12 16:00:00,70349.80,70699.00,69801.00,70349.8,159.961,1712938499999,11216844.67460,772,56.626,3994761.90670,0,2,2.0,67815.3,2534.5,18.01355512027042,18.006349698222312
2024-04-12 18:30:00,68313.00,69300.00,66800.00,67790.4,5134.553,1712947499999,347038673.22440,3938,348.571,23952629.43210,0,1,2.0,68689.8,-899.4000000000087,-6.633682645330377,-6.636336118388509
2024-04-12 22:00:00,69279.60,69657.00,68300.10,69250.0,48.39,1712960099999,3339701.35130,607,23.328,1616792.71500,0,2,2.0,67690.8,1559.199999999997,11.257761732851964,11.253258628158823
2024-04-12 23:30:00,69000.10,69409.80,68801.80,69322.1,106.575,1712965499999,7365046.45220,1163,62.447,4324518.23370,0,2,2.0,67690.8,1631.300000000003,11.766089025000706,11.761382589390706
2024-04-12 23:45:00,69305.90,69392.00,68802.00,69321.0,83.311,1712966399999,5754836.25760,862,56.321,3892933.70820,0,2,2.0,67690.8,1630.199999999997,11.758341628078051,11.753638291426821
2024-04-13 02:00:00,68287.20,69300.00,67500.00,68865.2,77.564,1712974499999,5328109.62440,1009,44.374,3065220.89950,0,0,2.0,64923.9,3941.2999999999956,28.61604990619352,28.604603486231042
2024-04-13 02:15:00,68865.20,69299.90,67845.00,68280.8,96.002,1712975399999,6565575.03460,432,48.197,3308536.69150,0,0,2.0,69184.7,-903.8999999999942,-6.6189909901465285,-6.621638586542587
2024-04-13 10:45:00,68295.20,68850.00,68200.00,68830.0,29.789,1713005999999,2039111.71310,336,15.119,1037897.32000,0,2,2.0,64923.9,3906.0999999999985,28.37498183931424,28.363631846578514
2024-04-13 11:00:00,68200.10,68850.00,68200.00,68800.0,59.694,1713006899999,4089298.67630,536,26.061,1792812.83760,0,2,2.0,64923.9,3876.0999999999985,28.169331395348827,28.15806366279069
2024-04-13 11:45:00,68287.20,68900.00,68000.00,68500.0,98.51,1713009599999,6748805.45120,368,51.049,3514905.19350,0,2,2.0,64923.9,3576.0999999999985,26.102919708029187,26.092478540145976
2024-04-13 12:00:00,68500.00,68849.90,67990.00,67990.0,108.646,1713010499999,7412841.93970,595,51.028,3491847.23680,0,2,2.0,68799.8,-809.8000000000029,-5.955287542285651,-5.957669657302565
2024-04-13 14:00:00,68309.30,68600.00,68097.00,68197.2,45.894,1713017699999,3137021.84000,367,20.116,1379681.01490,0,2,2.0,64923.9,3273.2999999999956,23.998785873906815,23.98918635955725
2024-04-13 15:00:00,68433.80,68600.00,68097.00,68600.0,140.124,1713021299999,9582756.62220,711,72.059,4941973.03450,0,2,2.0,64923.9,3676.0999999999985,26.793731778425645,26.783014285714273
2024-04-13 15:15:00,68100.20,68720.00,68100.00,68600.0,236.943,1713022199999,16246689.19060,622,188.789,12952596.69100,0,2,2.0,64923.9,3676.0999999999985,26.793731778425645,26.783014285714273
2024-04-13 16:15:00,68610.20,68729.00,68600.00,68728.7,71.42,1713025799999,4902778.18680,456,24.134,1658565.63760,0,2,2.0,64923.9,3804.7999999999956,27.679848447591734,27.668776508212698
2024-04-13 17:30:00,68725.90,68726.00,68003.60,68003.6,603.432,1713030299999,41165853.31450,967,88.500,6063281.98480,0,2,2.0,64923.9,3079.7000000000044,22.643654159485706,22.634596697821912
2024-04-13 18:15:00,67945.00,68100.00,67927.80,68047.1,179.493,1713032999999,12200861.71610,533,133.676,9087507.41940,0,2,2.0,64923.9,3123.2000000000044,22.948810456286925,22.93963093210441
2024-04-13 18:30:00,67968.10,68726.60,67697.90,68295.0,283.254,1713033899999,19392312.40170,1097,236.583,16222250.31760,0,2,2.0,64923.9,3371.0999999999985,24.680430485394233,24.670558313200075
2024-04-13 18:45:00,68295.00,68726.60,67697.90,68286.8,80.865,1713034799999,5525916.43300,849,45.639,3130904.93540,0,2,2.0,64923.9,3362.9000000000015,24.62335326886017,24.613503927552628
2024-04-13 19:15:00,68300.00,68725.00,67800.00,68250.0,58.142,1713036599999,3960970.57780,796,27.137,1852919.46040,0,2,2.0,64923.9,3326.0999999999985,24.367032967032955,24.357286153846143
2024-04-13 20:00:00,67500.20,68248.90,59500.00,64923.9,11201.971,1713039299999,690290577.25290,250634,236.752,15482339.05410,0,1,2.0,67142.7,-2218.7999999999956,-17.087698058804197,-17.094533138027717
2024-04-13 21:30:00,66746.60,66866.10,65923.10,66522.1,67.758,1713044699999,4515271.30160,1129,47.964,3198550.91520,0,2,2.0,67190.4,-668.2999999999884,-5.023142684912145,-5.02515194198611
2024-04-13 22:15:00,66751.90,66752.00,65800.20,66642.1,74.778,1713047399999,4947936.20120,708,42.003,2787054.46610,0,2,2.0,65115.3,1526.800000000003,11.45522124903029,11.450639160530677
2024-04-13 23:00:00,66749.00,66750.80,65800.00,66718.4,1206.059,1713050099999,79571553.40930,600,354.104,23420888.31460,0,2,1.0,65611.4,-1107.0,-8.296062255689586,-8.299380680591861
2024-04-14 00:30:00,66220.00,67399.00,66217.00,66829.6,69.752,1713055499999,4671860.81960,524,43.568,2928720.19880,0,2,2.0,65115.3,1714.300000000003,12.8259034918659,12.820773130469153
